AvgDialog_19196_Content_2,ahyX,avg章6_AvgDialog_C_M.csv,9,AvgDialog,Content,,现实重启,Reality Reboot
AvgDialog_19196_Content_3,ahzi,avg章6_AvgDialog_C_M.csv,10,AvgDialog,Content,墨菲,醒醒，%player%，你快醒醒。,"Wake up, %player%; wake up."
AvgDialog_19196_Content_4,ahzq,avg章6_AvgDialog_C_M.csv,11,AvgDialog,Content,墨菲,别、你别吓我…别睡了，快醒醒。,"D-don't frighten me... Don't fall asleep, wake up."
AvgDialog_19196_Content_5,ahzr,avg章6_AvgDialog_C_M.csv,12,AvgDialog,Content,,少女的抽泣一声声锤在鼓膜上，将你的意识从记忆洪流中拉拽了出来。,"The girl's sobs hammered at your eardrums, pulling your consciousness out of the flood of memories."
AvgDialog_19196_Content_7,ahzt,avg章6_AvgDialog_C_M.csv,14,AvgDialog,Content,,"记忆像幻灯片般，被一张张塞入了你这台破旧投影机中。
每一次画面的切换，都让你的灵魂从深处发来尖啸。","Memories slide into your mind one by one, like frames crammed into an old, battered projector.\nEach transition makes your soul scream from deep within."
AvgDialog_19196_Content_8,ahzu,avg章6_AvgDialog_C_M.csv,15,AvgDialog,Content,玩家,唔…拉蒙…娜……,Urgh... Ramo... na...
AvgDialog_19196_Content_9,ahzv,avg章6_AvgDialog_C_M.csv,16,AvgDialog,Content,墨菲,你这是……,This is... 
AvgDialog_19196_Content_10,ahyN,avg章6_AvgDialog_C_M.csv,17,AvgDialog,Content,墨菲,"……哼。
<Small:还行，这家伙至少还记得拉蒙娜……>","...Hmph.\n<Small:Not bad, at least this guy still remembers Ramona...>"
AvgDialog_19196_Content_11,ahyO,avg章6_AvgDialog_C_M.csv,18,AvgDialog,Content,,活人的靠近带来了属于生命的热量，在黑暗中，一阵剧痛以额头为原点向四肢蔓延。,"The presence of the living brought the warmth of life. In the darkness, a sharp pain radiated from your forehead to your limbs."
AvgDialog_19196_Content_12,ahyP,avg章6_AvgDialog_C_M.csv,19,AvgDialog,Content,,有人屈指在你的前额敲了一下。,Someone flicks you on the forehead.
AvgDialog_19196_Content_13,ahyQ,avg章6_AvgDialog_C_M.csv,20,AvgDialog,Content,玩家,好痛！,Ouch!
AvgDialog_19196_Content_14,ahyR,avg章6_AvgDialog_C_M.csv,21,AvgDialog,Content,墨菲,还能感觉到痛，那说明你还挺健康的嘛。,"If you can still feel pain, it means you're in pretty good condition."
AvgDialog_19196_Content_15,ahyS,avg章6_AvgDialog_C_M.csv,22,AvgDialog,Content,玩家,我……刚刚想起了一切。,I... just remembered everything.
